,a2c,,,,,,,,ppo,,,,,,,,td3,,,,,,,,Overall,,,,,,,
,TP,FP,TN,FN,Accuracy,Precision,Recall,F1 Score,TP,FP,TN,FN,Accuracy,Precision,Recall,F1 Score,TP,FP,TN,FN,Accuracy,Precision,Recall,F1 Score,TP,FP,TN,FN,Accuracy,Precision,Recall,F1 Score
"LPEA Oracle I=20, J=800, vartheta=1, Theta=75%",15,0,19,4,0.895,1,0.789,0.882,15,0,22,7,0.841,1,0.682,0.811,15,15,0,0,0.5,0.5,1,0.667,45,15,41,11,0.768,0.75,0.804,0.776
"LPEA Oracle I=20, J=800, vartheta=1, Theta=50%",15,0,19,4,0.895,1,0.789,0.882,12,0,22,10,0.773,1,0.545,0.706,15,15,0,0,0.5,0.5,1,0.667,42,15,41,14,0.741,0.737,0.75,0.743
"LPEA Oracle I=20, J=800, vartheta=1, Theta=25%",13,0,19,6,0.842,1,0.684,0.813,9,0,22,13,0.705,1,0.409,0.581,14,12,3,1,0.567,0.538,0.933,0.683,36,12,44,20,0.714,0.75,0.643,0.692
"LPEA Oracle I=20, J=800, vartheta=97.5%, Theta=75%",15,0,19,4,0.895,1,0.789,0.882,9,0,22,13,0.705,1,0.409,0.581,12,2,13,3,0.833,0.857,0.8,0.828,36,2,54,20,0.804,0.947,0.643,0.766
"LPEA Oracle I=20, J=800, vartheta=97.5%, Theta=50%",15,0,19,4,0.895,1,0.789,0.882,8,0,22,14,0.682,1,0.364,0.533,10,0,15,5,0.833,1,0.667,0.8,33,0,56,23,0.795,1,0.589,0.742
"LPEA Oracle I=20, J=800, vartheta=97.5%, Theta=25%",13,0,19,6,0.842,1,0.684,0.813,6,0,22,16,0.636,1,0.273,0.429,10,0,15,5,0.833,1,0.667,0.8,29,0,56,27,0.759,1,0.518,0.682
"LPEA Oracle I=20, J=800, vartheta=95%, Theta=75%",15,0,19,4,0.895,1,0.789,0.882,8,0,22,14,0.682,1,0.364,0.533,11,0,15,4,0.867,1,0.733,0.846,34,0,56,22,0.804,1,0.607,0.756
"LPEA Oracle I=20, J=800, vartheta=95%, Theta=50%",13,0,19,6,0.842,1,0.684,0.813,7,0,22,15,0.659,1,0.318,0.483,10,0,15,5,0.833,1,0.667,0.8,30,0,56,26,0.768,1,0.536,0.698
"LPEA Oracle I=20, J=800, vartheta=95%, Theta=25%",11,0,19,8,0.789,1,0.579,0.733,5,0,22,17,0.614,1,0.227,0.37,8,0,15,7,0.767,1,0.533,0.696,24,0,56,32,0.714,1,0.429,0.6
"LPEA Oracle I=20, J=800, vartheta=92.5%, Theta=75%",13,0,19,6,0.842,1,0.684,0.813,8,0,22,14,0.682,1,0.364,0.533,11,0,15,4,0.867,1,0.733,0.846,32,0,56,24,0.786,1,0.571,0.727
"LPEA Oracle I=20, J=800, vartheta=92.5%,, Theta=50%",13,0,19,6,0.842,1,0.684,0.813,6,0,22,16,0.636,1,0.273,0.429,10,0,15,5,0.833,1,0.667,0.8,29,0,56,27,0.759,1,0.518,0.682
"LPEA Oracle I=20, J=800, vartheta=92.5%,, Theta=25%",9,0,19,10,0.737,1,0.474,0.643,5,0,22,17,0.614,1,0.227,0.37,7,0,15,8,0.733,1,0.467,0.636,21,0,56,35,0.688,1,0.375,0.545
"LPEA Oracle I=20, J=800, vartheta=90%, Theta=75%",13,0,19,6,0.842,1,0.684,0.813,8,0,22,14,0.682,1,0.364,0.533,10,0,15,5,0.833,1,0.667,0.8,31,0,56,25,0.777,1,0.554,0.713
"LPEA Oracle I=20, J=800, vartheta=90%, Theta=50%",13,0,19,6,0.842,1,0.684,0.813,5,0,22,17,0.614,1,0.227,0.37,8,0,15,7,0.767,1,0.533,0.696,26,0,56,30,0.732,1,0.464,0.634
"LPEA Oracle I=20, J=800, vartheta=90%, Theta=25%",8,0,19,11,0.711,1,0.421,0.593,5,0,22,17,0.614,1,0.227,0.37,7,0,15,8,0.733,1,0.467,0.636,20,0,56,36,0.679,1,0.357,0.526
Human Oracle,12,15,4,7,0.421,0.444,0.632,0.522,15,15,7,7,0.5,0.5,0.682,0.577,11,8,7,4,0.6,0.579,0.733,0.647,38,38,18,18,0.5,0.5,0.679,0.576
