,NN-Specific,,,RL-Specific,,,,
,TP,FN,Recall,TP,FN,Recall,,
"LPEA Oracle I=20, J=800, vartheta=1, theta=75%",13,3,0.813,32,8,0.800,,
"LPEA Oracle I=20, J=800, vartheta=1, theta=50%",13,3,0.813,29,11,0.725,,
"LPEA Oracle I=20, J=800, vartheta=1, theta=25%",13,3,0.813,23,17,0.575,,
"LPEA Oracle I=20, J=800, vartheta=97.5%, theta=75%",13,3,0.813,23,17,0.575,,
"LPEA Oracle I=20, J=800, vartheta=97.5%, theta=50%",12,4,0.750,21,19,0.525,,
"LPEA Oracle I=20, J=800, vartheta=97.5%, theta=25%",11,5,0.688,18,22,0.450,,
"LPEA Oracle I=20, J=800, vartheta=95%, theta=75%",12,4,0.750,22,18,0.550,,
"LPEA Oracle I=20, J=800, vartheta=95%, theta=50%",11,5,0.688,19,21,0.475,,
"LPEA Oracle I=20, J=800, vartheta=95%, theta=25%",11,5,0.688,13,27,0.325,,
"LPEA Oracle I=20, J=800, vartheta=92.5%, theta=75%",12,4,0.750,20,20,0.500,,
"LPEA Oracle I=20, J=800, vartheta=92.5%,, theta=50%",11,5,0.688,18,22,0.450,,
"LPEA Oracle I=20, J=800, vartheta=92.5%,, theta=25%",10,6,0.625,11,29,0.275,,
"LPEA Oracle I=20, J=800, vartheta=90%, theta=75%",12,4,0.750,19,21,0.475,,
"LPEA Oracle I=20, J=800, vartheta=90%, theta=50%",11,5,0.688,15,25,0.375,,
"LPEA Oracle I=20, J=800, vartheta=90%, theta=25%",10,6,0.625,10,30,0.250,,
Human Oracle,11,5,0.6875,27,13,0.675,,

