,Overall,,,,,,,,,,,
,TP,FP,TN,FN,Accuracy,Precision,Recall,F1 Score,,,,
"LPEA Oracle I=20, J=800, vartheta=1, Theta=75%",45,15,41,11,0.768,0.750,0.804,0.776,,,,
"LPEA Oracle I=20, J=800, vartheta=1, Theta=50%",42,15,41,14,0.741,0.737,0.750,0.743,,,,
"LPEA Oracle I=20, J=800, vartheta=1, Theta=25%",36,12,44,20,0.714,0.750,0.643,0.692,,,,
"LPEA Oracle I=20, J=800, vartheta=97.5%, Theta=75%",36,2,54,20,0.804,0.947,0.643,0.766,,,,
"LPEA Oracle I=20, J=800, vartheta=97.5%, Theta=50%",33,0,56,23,0.795,1.000,0.589,0.742,,,,
"LPEA Oracle I=20, J=800, vartheta=97.5%, Theta=25%",29,0,56,27,0.759,1.000,0.518,0.682,,,,
"LPEA Oracle I=20, J=800, vartheta=95%, Theta=75%",34,0,56,22,0.804,1.000,0.607,0.756,,,,
"LPEA Oracle I=20, J=800, vartheta=95%, Theta=50%",30,0,56,26,0.768,1.000,0.536,0.698,,,,
"LPEA Oracle I=20, J=800, vartheta=95%, Theta=25%",24,0,56,32,0.714,1.000,0.429,0.600,,,,
"LPEA Oracle I=20, J=800, vartheta=92.5%, Theta=75%",32,0,56,24,0.786,1.000,0.571,0.727,,,,
"LPEA Oracle I=20, J=800, vartheta=92.5%,, Theta=50%",29,0,56,27,0.759,1.000,0.518,0.682,,,,
"LPEA Oracle I=20, J=800, vartheta=92.5%,, Theta=25%",21,0,56,35,0.688,1.000,0.375,0.545,,,,
"LPEA Oracle I=20, J=800, vartheta=90%, Theta=75%",31,0,56,25,0.777,1.000,0.554,0.713,,,,
"LPEA Oracle I=20, J=800, vartheta=90%, Theta=50%",26,0,56,30,0.732,1.000,0.464,0.634,,,,
"LPEA Oracle I=20, J=800, vartheta=90%, Theta=25%",20,0,56,36,0.679,1.000,0.357,0.526,,,,
Human Oracle,38,38,18,18,0.5,0.5,0.679,0.576,,,,

