,Overall,,,,,,,
,TP,FP,TN,FN,Accuracy,Precision,Recall,F1 Score
"LPEA Oracle I=20, J=800, vartheta=1, Theta=75%",15,0,22,7,0.841,1,0.682,0.811
"LPEA Oracle I=20, J=800, vartheta=1, Theta=50%",12,0,22,10,0.773,1,0.545,0.706
"LPEA Oracle I=20, J=800, vartheta=1, Theta=25%",9,0,22,13,0.705,1,0.409,0.581
"LPEA Oracle I=20, J=800, vartheta=97.5%, Theta=75%",9,0,22,13,0.705,1,0.409,0.581
"LPEA Oracle I=20, J=800, vartheta=97.5%, Theta=50%",8,0,22,14,0.682,1,0.364,0.533
"LPEA Oracle I=20, J=800, vartheta=97.5%, Theta=25%",6,0,22,16,0.636,1,0.273,0.429
"LPEA Oracle I=20, J=800, vartheta=95%, Theta=75%",8,0,22,14,0.682,1,0.364,0.533
"LPEA Oracle I=20, J=800, vartheta=95%, Theta=50%",7,0,22,15,0.659,1,0.318,0.483
"LPEA Oracle I=20, J=800, vartheta=95%, Theta=25%",5,0,22,17,0.614,1,0.227,0.37
"LPEA Oracle I=20, J=800, vartheta=92.5%, Theta=75%",8,0,22,14,0.682,1,0.364,0.533
"LPEA Oracle I=20, J=800, vartheta=92.5%,, Theta=50%",6,0,22,16,0.636,1,0.273,0.429
"LPEA Oracle I=20, J=800, vartheta=92.5%,, Theta=25%",5,0,22,17,0.614,1,0.227,0.37
"LPEA Oracle I=20, J=800, vartheta=90%, Theta=75%",8,0,22,14,0.682,1,0.364,0.533
"LPEA Oracle I=20, J=800, vartheta=90%, Theta=50%",5,0,22,17,0.614,1,0.227,0.37
"LPEA Oracle I=20, J=800, vartheta=90%, Theta=25%",5,0,22,17,0.614,1,0.227,0.37
Human Oracle,15,15,7,7,0.5,0.5,0.682,0.577
