,On-Policy,,,,,,,,Off-Policy,,,,,,,,,,,
,TP,FP,TN,FN,Accuracy,Precision,Recall,F1 Score,TP,FP,TN,FN,Accuracy,Precision,Recall,F1 Score,,,,
"LPEA Oracle I=20, J=800, vartheta=1, theta=75%",30,0,41,11,0.866,1.000,0.732,0.845,15,15,0,0,0.500,0.500,1.000,0.667,,,,
"LPEA Oracle I=20, J=800, vartheta=1, theta=50%",27,0,41,14,0.829,1.000,0.659,0.794,15,15,0,0,0.500,0.500,1.000,0.667,,,,
"LPEA Oracle I=20, J=800, vartheta=1, theta=25%",22,0,41,19,0.768,1.000,0.537,0.698,14,12,3,1,0.567,0.538,0.933,0.683,,,,
"LPEA Oracle I=20, J=800, vartheta=97.5%, theta=75%",24,0,41,17,0.793,1.000,0.585,0.738,12,2,13,3,0.833,0.857,0.800,0.828,,,,
"LPEA Oracle I=20, J=800, vartheta=97.5%, theta=50%",23,0,41,18,0.780,1.000,0.561,0.719,10,0,15,5,0.833,1.000,0.667,0.800,,,,
"LPEA Oracle I=20, J=800, vartheta=97.5%, theta=25%",19,0,41,22,0.732,1.000,0.463,0.633,10,0,15,5,0.833,1.000,0.667,0.800,,,,
"LPEA Oracle I=20, J=800, vartheta=95%, theta=75%",23,0,41,18,0.780,1.000,0.561,0.719,11,0,15,4,0.867,1.000,0.733,0.846,,,,
"LPEA Oracle I=20, J=800, vartheta=95%, theta=50%",20,0,41,21,0.744,1.000,0.488,0.656,10,0,15,5,0.833,1.000,0.667,0.800,,,,
"LPEA Oracle I=20, J=800, vartheta=95%, theta=25%",16,0,41,25,0.695,1.000,0.390,0.561,8,0,15,7,0.767,1.000,0.533,0.696,,,,
"LPEA Oracle I=20, J=800, vartheta=92.5%, theta=75%",21,0,41,20,0.756,1.000,0.512,0.677,11,0,15,4,0.867,1.000,0.733,0.846,,,,
"LPEA Oracle I=20, J=800, vartheta=92.5%,, theta=50%",19,0,41,22,0.732,1.000,0.463,0.633,10,0,15,5,0.833,1.000,0.667,0.800,,,,
"LPEA Oracle I=20, J=800, vartheta=92.5%,, theta=25%",14,0,41,27,0.671,1.000,0.341,0.509,7,0,15,8,0.733,1.000,0.467,0.636,,,,
"LPEA Oracle I=20, J=800, vartheta=90%, theta=75%",21,0,41,20,0.756,1.000,0.512,0.677,10,0,15,5,0.833,1.000,0.667,0.800,,,,
"LPEA Oracle I=20, J=800, vartheta=90%, theta=50%",18,0,41,23,0.720,1.000,0.439,0.610,8,0,15,7,0.767,1.000,0.533,0.696,,,,
"LPEA Oracle I=20, J=800, vartheta=90%, theta=25%",13,0,41,28,0.659,1.000,0.317,0.481,7,0,15,8,0.733,1.000,0.467,0.636,,,,
Human Oracle,27,30,11,14,0.463,0.474,0.659,0.551,11,8,7,4,0.6,0.579,0.733,0.647,,,,

